[2019-04-08T21:46:42+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2019-04-08T21:49:36+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-04-08T21:51:40+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-04-08T21:59:04+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-04-08T22:00:10+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2019-04-08T22:00:27+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-04-08T22:06:46+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-04-08T23:41:04+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-04-08T23:41:04+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-04-08T23:42:46+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-04-08T23:42:46+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-04-09T00:55:48+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-04-09T00:55:48+0200] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: a0b5090638; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
